# start	end	mode	name  (end = start+size-1; 0 = size unknown)
0x080003A4	0x080004AF	thumb	AgbMain
0x080004B0	0x080004C3	thumb	UpdateLinkAndCallCallbacks
0x080004C4	0x0800050F	thumb	InitMainCallbacks
0x08000510	0x08000543	thumb	CallCallbacks
0x08000544	0x08000557	thumb	SetMainCallback2
0x08000558	0x08000563	thumb	StartTimer1
0x08000564	0x0800058B	thumb	SeedRngAndSetTrainerId
0x0800058C	0x08000597	thumb	GetGeneratedTrainerIdLower
0x08000598	0x080005BF	thumb	EnableVCountIntrAtLine150
0x080005C0	0x080005E7	thumb	InitKeys
0x080005E8	0x08000687	thumb	ReadKeys
0x08000688	0x080006F3	thumb	InitIntrHandlers
0x080006F4	0x080006FF	thumb	SetVBlankCallback
0x08000700	0x0800070B	thumb	SetHBlankCallback
0x0800070C	0x08000717	thumb	SetVCountCallback
0x08000718	0x08000723	thumb	SetSerialCallback
0x08000724	0x080007C7	thumb	VBlankIntr
0x080007C8	0x080007DB	thumb	InitFlashTimer
0x080007DC	0x0800080B	thumb	HBlankIntr
0x0800080C	0x08000843	thumb	VCountIntr
0x08000844	0x08000873	thumb	SerialIntr
0x08000874	0x0800088B	thumb	RestoreSerialTimer3IntrHandlers
0x0800088C	0x0800088D	thumb	IntrDummy
0x08000890	0x080008BF	thumb	WaitForVBlank
0x080008C0	0x080008CB	thumb	SetVBlankCounter1Ptr
0x080008CC	0x080008D7	thumb	DisableVBlankCounter1
0x080008D8	0x08000943	thumb	DoSoftReset
0x08000944	0x08000967	thumb	ClearPokemonCrySongs
0x08000968	0x080009BF	thumb	InitGpuRegManager
0x080009C0	0x08000A03	thumb	CopyBufferedValueToGpuReg
0x08000A04	0x08000A37	thumb	CopyBufferedValuesToGpuRegs
0x08000A38	0x08000AC3	thumb	SetGpuReg
0x08000AC4	0x08000AF3	thumb	GetGpuReg
0x08000AF4	0x08000B13	thumb	SetGpuRegBits
0x08000B14	0x08000B33	thumb	ClearGpuRegBits
0x08000B34	0x08000B67	thumb	SyncRegIE
0x08000B68	0x08000B93	thumb	EnableInterrupts
0x08000B94	0x08000BBF	thumb	DisableInterrupts
0x08000BC0	0x08000BFB	thumb	UpdateRegDispstatIntrBits
0x08000BFC	0x08000C33	thumb	ClearDma3Requests
0x08000C34	0x08000EAB	thumb	ProcessDma3Requests
0x08000EAC	0x08000F41	thumb	RequestDma3Copy
0x08000F44	0x08000FE7	thumb	RequestDma3Fill
0x08000FE8	0x08001027	thumb	WaitDma3Request
0x08001028	0x0800103F	thumb	ResetBgs
0x08001040	0x0800105B	thumb	SetBgModeInternal
0x0800105C	0x0800106B	thumb	GetBgMode
0x0800106C	0x0800108B	thumb	ResetBgControlStructs
